nodename,timestamp,cpu_load,mem_load,power
comput2,2023-05-11 14:50:12,3.6,1.2717,312
comput2,2023-05-11 14:50:29,3.61,1.271,306
comput2,2023-05-11 14:50:46,3.6,1.2696,306
comput2,2023-05-11 14:51:01,3.83,1.2692,294
comput2,2023-05-11 14:51:17,4.63,1.2698,312
comput2,2023-05-11 14:51:33,3.58,1.269,312
comput2,2023-05-11 14:51:56,3.63,1.2679,300
comput2,2023-05-11 14:52:11,3.58,1.2678,324
comput2,2023-05-11 14:52:25,3.61,1.2676,318
comput2,2023-05-11 14:53:10,99.95,8.71,522
comput2,2023-05-11 14:53:25,99.96,8.703,726
comput2,2023-05-11 14:53:40,99.96,8.701,558
comput2,2023-05-11 14:53:57,99.89,8.7066,510
comput2,2023-05-11 14:54:13,3.58,1.276,318
comput2,2023-05-11 14:54:30,3.58,1.2745,324
comput2,2023-05-11 14:54:51,4.24,1.2744,306
comput2,2023-05-11 14:55:07,3.61,1.2714,312
comput2,2023-05-11 14:55:24,3.6,1.2725,312
comput2,2023-05-11 14:55:42,3.58,1.2687,306
comput2,2023-05-11 14:55:59,3.65,1.2678,312
comput2,2023-05-11 14:56:13,3.6,1.2673,318
comput2,2023-05-11 14:56:27,3.6,1.2673,312
comput2,2023-05-11 14:56:44,3.6,1.2668,318
comput2,2023-05-11 14:56:59,3.69,1.266,306
comput2,2023-05-11 14:57:17,3.63,1.266,300
comput2,2023-05-11 14:57:35,4.36,1.2664,312
comput2,2023-05-11 14:59:13,3.6,1.2814,510
comput2,2023-05-11 14:59:30,3.6,1.2779,312
comput2,2023-05-11 14:59:46,3.63,1.2749,306
comput2,2023-05-11 15:00:00,3.95,1.2743,312
comput2,2023-05-11 15:00:16,3.6,1.2732,300
comput2,2023-05-11 15:00:31,3.6,1.2722,306
comput2,2023-05-11 15:00:50,3.6,1.2708,306
comput2,2023-05-11 15:01:08,3.6,1.2702,318
comput2,2023-05-11 15:01:24,3.58,1.269,306
comput2,2023-05-11 15:01:39,3.69,1.2683,330
comput2,2023-05-11 15:01:57,35.9,1.2819,318
comput2,2023-05-11 15:02:29,99.98,9.0761,756
comput2,2023-05-11 15:03:56,3.6,1.2802,318
comput2,2023-05-11 15:04:11,3.6,1.2787,312
comput2,2023-05-11 15:04:28,3.61,1.2762,312
comput2,2023-05-11 15:04:53,3.58,1.2744,312
comput2,2023-05-11 15:05:09,3.6,1.2726,300
comput2,2023-05-11 15:05:28,3.61,1.2715,300
comput2,2023-05-11 15:05:45,3.56,1.2704,300
comput2,2023-05-11 15:06:01,3.81,1.2707,312
comput2,2023-05-11 15:06:18,54.2,1.3781,300
comput2,2023-05-11 15:07:11,99.89,9.1536,720
comput2,2023-05-11 15:07:27,99.91,9.1518,552
comput2,2023-05-11 15:07:44,99.98,9.1533,516
comput2,2023-05-11 15:07:59,3.64,1.2794,606
comput2,2023-05-11 15:08:17,4.7,1.2784,312
comput2,2023-05-11 15:08:35,3.65,1.2771,300
comput2,2023-05-11 15:08:56,3.56,1.274,306
comput2,2023-05-11 15:09:15,3.63,1.2725,318
comput2,2023-05-11 15:09:33,3.61,1.2709,312
comput2,2023-05-11 15:09:53,3.6,1.27,324
comput2,2023-05-11 15:10:08,78.16,1.283,300
comput2,2023-05-11 15:10:25,99.91,9.7432,576
comput2,2023-05-11 15:10:43,99.95,9.7359,570
comput2,2023-05-11 15:11:00,99.96,9.7292,534
comput2,2023-05-11 15:11:15,99.96,9.728,510
comput2,2023-05-11 15:11:48,99.95,9.7278,600
comput2,2023-05-11 15:12:04,99.95,9.7262,510
comput2,2023-05-11 15:12:21,3.63,1.2797,522
comput2,2023-05-11 15:12:39,3.67,1.2781,312
comput2,2023-05-11 15:12:56,3.63,1.2774,312
comput2,2023-05-11 15:13:13,3.6,1.2751,294
comput2,2023-05-11 15:13:27,3.6,1.2739,300
comput2,2023-05-11 15:13:41,3.61,1.2723,300
comput2,2023-05-11 15:13:58,3.56,1.2721,318
comput2,2023-05-11 15:14:17,54.64,1.3793,306
comput2,2023-05-11 15:14:56,98.65,9.8937,720
comput2,2023-05-11 15:15:15,99.89,9.889,594
comput2,2023-05-11 15:16:23,3.6,1.2872,534
comput2,2023-05-11 15:16:39,3.63,1.2804,318
comput2,2023-05-11 15:16:57,3.61,1.2803,306
comput2,2023-05-11 15:17:11,3.6,1.2783,312
comput2,2023-05-11 15:17:28,3.6,1.2785,330
comput2,2023-05-11 15:17:48,3.58,1.2761,294
comput2,2023-05-11 15:18:05,4.85,1.2761,324
comput2,2023-05-11 15:18:21,75.92,3.4719,324
comput2,2023-05-11 15:18:38,99.95,10.523,606
comput2,2023-05-11 15:19:35,99.96,10.513,522
comput2,2023-05-11 15:21:01,3.85,1.2808,696
comput2,2023-05-11 15:21:19,3.61,1.278,306
comput2,2023-05-11 15:21:39,3.58,1.2765,312
comput2,2023-05-11 15:21:57,3.61,1.275,336
comput2,2023-05-11 15:22:15,3.58,1.2743,330
comput2,2023-05-11 15:22:32,3.6,1.2728,324
comput2,2023-05-11 15:23:00,99.84,10.749,306
comput2,2023-05-11 15:23:57,99.95,11.003,516
