4,1,18,25603.0717
4,1,20,25856.17205
4,1,22,25504.31954
4,1,24,25025.37707
4,1,26,25670.91723
4,1,28,25271.1395
4,2,18,25042.91882
4,2,20,24767.64215
4,5,18,25229.36983
4,5,24,25331.34274
4,5,28,25910.72919
4,7,18,25218.58247
4,7,28,25468.06211
4,8,18,26133.14369
4,8,20,25333.36182
4,8,22,25586.81158
4,9,18,24941.67727
4,9,20,25520.25793
4,9,22,24946.74046
4,9,24,25443.65792
4,9,26,25884.7524
4,9,28,25147.67997
1,1,18,35579.3317
1,1,20,35643.80204
1,1,22,36059.78094
1,1,24,35464.90218
1,1,26,35700.23609
1,1,28,36226.14483
1,2,18,35504.91226
1,2,20,35463.97405
1,5,18,35124.87376
1,5,24,35850.81374
1,5,28,35973.93158
1,7,18,35570.57075
1,7,28,35939.22377
1,8,18,31514.29193
1,8,20,35968.50521
1,8,22,36345.20197
1,9,18,35906.25687
1,9,20,35825.20076
1,9,22,35483.72803
1,9,24,35018.15878
1,9,26,35574.11356
1,9,28,35794.72653
2,1,18,41231.36122
2,1,20,41561.14939
2,1,22,41485.00478
2,1,24,41313.07183
2,1,26,41253.22352
2,1,28,41329.72353
2,2,18,40919.44738
2,2,20,41725.61812
2,5,18,41354.83127
2,5,24,41190.90057
2,5,28,41198.92555
2,7,18,41224.7664
2,7,28,39716.42376
2,8,18,40076.30971
2,8,20,39431.3209
2,8,22,39717.0758
2,9,18,41143.75852
2,9,20,40924.13297
2,9,22,41472.68714
2,9,24,41419.50351
2,9,26,40994.33737
2,9,28,41860.11209
